participantnumbers,Infantage,sex,priorexpt,angry_dt_infancy,fearful_dt_infancy,happy_dt_infancy,nonface_dt_infancy,angry_dtntrial_infancy,fearful_dtntrial_infancy,happy_dtntrial_infancy,nonface_dtntrial_infancy,dtntrial_infancy_min,angry_dt_3yr,fearful_dt_3yr,happy_dt_3yr,nonface_dt_3yr,angry_dtntrial_3yr,fearful_dtntrial_3yr,happy_dtntrial_3yr,nonface_dtntrial_3yr,dtntrial_3yr_min,AngryHappy_dt_ratio_3yr,FearfulHappy_dt_ratio_3yr,AngryHappy_sl_ratio_3yr,FearfulHappy_sl_ratio_3yr,AngryHappy_dt_ratio_infancy,FearfulHappy_dt_ratio_infancy,AngryHappy_sl_ratio_infancy,FearfulHappy_sl_ratio_infancy,DifferentERPscores,AngryHappy_P400amp_ratio_infancy,FearHappy_P400amp_ratio_infancy,AngryHappy_P400lat_ratio_infancy,FearHappy_P400lat_ratio_infancy,AngryHappy_Ncamp_ratio_infancy,FearHappy_Ncamp_ratio_infancy,AngryHappy_N290lat_ratio_infancy,FearHappy_N290lat_ratio_infancy,AngryHappy_N290amp_ratio_infancy,FearHappy_N290amp_ratio_infancy,AngryHappy_P400amp_ratio_3yr,FearHappy_P400amp_ratio_3yr,AngryHappy_P400lat_ratio_3yr,FearHappy_P400lat_ratio_3yr,AngryHappy_Ncamp_ratio_3yr,FearHappy_Ncamp_ratio_3yr,AngryHappy_N290lat_ratio_3yr,FearHappy_N290lat_ratio_3yr,AngryHappy_N290amp_ratio_3yr,FearHappy_N290amp_ratio_3yr
654,7,0,3,.485734,.538981666666667,.426005,.18012,5,6,4,5,4,.793619,.83484,.600829,.69894,6,5,6,6,5,.138255424368639,.162997877644499,.108310170915443,.127445542607577,.0655110727960524,.117075883604609,.047227899335708,-.108083619358276, , , , , , , , , , , , , , , , , , , , , 
655,12,1,3, , , , , , , , ,0,1,.96379,1,.4374,5,6,6,6,5,0,-.0184388351096604, , , , , , , , , , , , , , , , , , , , , , , , , , , 
656,5,1,3, , , , , , , , ,0,.564969,.84799,.705609,.41164,6,4,5,3,4,-.110689780556566,.0916459137782658,-.0234187681422312,-.0935840586568192, , ,-.0154724434396747, , , , , , , , , , , , , , , , , , , , , , 
657,5,0,3, , , , , , , , ,0,.77424,.901569,.46516,.45828,4,4,4,5,4,.249378731644344,.319309094926646,.0609716728147693,.208463988514825, , ,-.128525572009826,-.151275798056273, , , , , , , , , , , , , , , , , , , , , 
659,7,1,3, , , , , , , , ,0,1,.42109,.630419,.45054,1,2,6,5,1,.226678540914943,-.199074853377384, ,-.0201190847328928, , ,.111125196350085,-.0549081902963088, , , , , , , , , , , , , , , , , , , , , 
660,5,1,3, , , , , , , , ,0,.689849,.81652,.85053,.75629,5,3,5,5,3,-.104312639941209,-.0204013076992292,-.168760198763905,-.0142775481134373, , , ,.230707690441111, , , , , , , , , , , , , , , , , , , , , 
661,7,1,3,.387792,.599748,.358986666666667,.1331022,5,5,3,5,3,.98665,.960529,.63705,.57828,3,3,4,4,3,.215310710106547,.202480753690428,.432172166087195,.402681103718925,.0385727855107447,.251124051006118,.0261885403739998,-.0249593154386946, , , , , , , , , , , , , , , , , , , , , 
662,7,1,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,.0537996957562765,.0958876323478717, , , , , , , , , , , , , , , , , , , , , 
663,5,1,3,.407564,.2858676,.340964,.195788,5,5,5,5,5, , , , , , , , ,0, , , , ,.0889746275356434,-.0878966535828761,.105570690341679,.134556603616979, , , , , , , , , , , , , , , , , , , , , 
664,7,1,3,.3370222,.228484333333333,.22196,.1174656,5,3,3,5,3,.82957,.710579,.793799,.65149,3,4,4,4,3,.0220350394765454,-.0553185436107149,.0930304055028293,-.122234297616804,.205842332725443,.0144842166956627,-.0679210322927306,.00811757085869234, , , , , , , , , , , , , , , , , , , , , 
665,12,0,3,.457333333333333,.234952,.3174552,.117408666666667,3,5,5,6,3, , , , , , , , ,0, , , , ,.180537175390997,-.149352144577406,.0571326862784623,.1199543832467, , , , , , , , , , , , , , , , , , , , , 
666,7,0,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,.0465424789141485,.06289008217674, , , , , , , , , , , , , , , , , , , , , 
667,5,0,3, , , , , , , , ,0,.90968,1,1,.92601,5,5,5,4,5,-.0472958820325918,0, , , , ,.00496032801165263,.153403823711642, , , , , , , , , , , , , , , , , , , , , 
669,5,1,3,.463578333333333,.31724,.630383333333333,.7018286,6,5,6,5,5, , , , , , , , ,0, , , , ,-.152477920463392,-.330451269315867,.0142634783699724,-.115021909140936, , , , , , , , , , , , , , , , , , , , , 
670,7,0,3,.721226,.4360485,.650155,.153300833333333,5,4,6,6,4, , , , , , , , ,0, , , , ,.051824401825605,-.197114537008949,.197763154000764,-.0579675394101186, , , , , , , , , , , , , , , , , , , , , 
